Word Pair: (fish, الوقت)
Model: artificial_cbow.model, Similarity: -0.012938695028424263
Model: natural_cbow.model, Similarity: -0.07692026346921921
Model: artificial_sg.model, Similarity: 0.11409266293048859
Model: natural_sg.model, Similarity: 0.12715308368206024

Word Pair: (code, عارفة)
Model: artificial_cbow.model, Similarity: 0.3229665756225586
Model: natural_cbow.model, Similarity: 0.055985771119594574
Model: artificial_sg.model, Similarity: 0.1260000616312027
Model: natural_sg.model, Similarity: 0.2731662392616272

Word Pair: (ببقى, super)
Model: artificial_cbow.model, Similarity: 0.24620328843593597
Model: natural_cbow.model, Similarity: -0.10732433199882507
Model: artificial_sg.model, Similarity: 0.14887051284313202
Model: natural_sg.model, Similarity: 0.17084380984306335

Word Pair: (communication, sea)
Model: artificial_cbow.model, Similarity: 0.11877599358558655
Model: natural_cbow.model, Similarity: 0.2040027678012848
Model: artificial_sg.model, Similarity: 0.14044584333896637
Model: natural_sg.model, Similarity: 0.1899549663066864

Word Pair: (ساعة, الاقتصادية)
Model: artificial_cbow.model, Similarity: 0.05489710345864296
Model: natural_cbow.model, Similarity: -0.01537826843559742
Model: artificial_sg.model, Similarity: 0.24391743540763855
Model: natural_sg.model, Similarity: 0.10599835962057114

Word Pair: (entertainment, fine)
Model: artificial_cbow.model, Similarity: -0.0627819299697876
Model: natural_cbow.model, Similarity: 0.3969045579433441
Model: artificial_sg.model, Similarity: 0.2056291103363037
Model: natural_sg.model, Similarity: 0.3496492803096771

Word Pair: (البداية, عارفين)
Model: artificial_cbow.model, Similarity: 0.14784906804561615
Model: natural_cbow.model, Similarity: 0.1946619600057602
Model: artificial_sg.model, Similarity: 0.25448980927467346
Model: natural_sg.model, Similarity: 0.3768329620361328

Word Pair: (ريحة, نوع)
Model: artificial_cbow.model, Similarity: 0.04260019585490227
Model: natural_cbow.model, Similarity: 0.16412286460399628
Model: artificial_sg.model, Similarity: 0.27391791343688965
Model: natural_sg.model, Similarity: 0.3132801055908203

Word Pair: (الناس, information)
Model: artificial_cbow.model, Similarity: 0.17257021367549896
Model: natural_cbow.model, Similarity: 0.044831663370132446
Model: artificial_sg.model, Similarity: 0.20114178955554962
Model: natural_sg.model, Similarity: 0.14013835787773132

Word Pair: (related, قاللي)
Model: artificial_cbow.model, Similarity: 0.019096853211522102
